author,git-repo,name,description,license,type
abradle,https://github.com/abradle/nf-ena,abradle/nf-ena,,,NF
abremges,https://github.com/abremges/TreeHugger,abremges/TreeHugger,Phylogenetic assignment and tree inference using defined marker gene sets,Apache-2.0,NF
abremges,https://github.com/abremges/x,abremges/x,,,NF
Ackia,https://github.com/Ackia/AMB_Baltic-Sediment,Ackia/AMB_Baltic-Sediment,,MIT,NF
Ackia,https://github.com/Ackia/AMB_MAG_Summer_2018,Ackia/AMB_MAG_Summer_2018,MAG analysis for AMB group  GATC sequencing summer 2018,NOASSERTION,NF
Ackia,https://github.com/Ackia/campylobacter_analysis,Ackia/campylobacter_analysis,Scripts for analysis of Campylobacter from Illumina WGS sequencing,,NF
Ackia,https://github.com/Ackia/e_hirae_analysis,Ackia/e_hirae_analysis,Analysis of E.Hirae WGS sequencing data,,NF
Ackia,https://github.com/Ackia/Nextflow_testing,Ackia/Nextflow_testing,,,NF
adamrtalbot,https://github.com/adamrtalbot/kallisto_nf,adamrtalbot/kallisto_nf,Nextflow pipeline for Kallisto pseudoalignment of RNA-Seq data,,NF
adamrtalbot,https://github.com/adamrtalbot/yarcc_nextflow_config,adamrtalbot/yarcc_nextflow_config,Config file for use with Nextflow in YARCC,,NF
AdrianS85,https://github.com/AdrianS85/RRBS,AdrianS85/RRBS,,,NF
aertslab,https://github.com/aertslab/scenic-nf,aertslab/scenic-nf,Test case for a pySCENIC Nextflow pipeline using containers,,NF
agartland,https://github.com/agartland/rnaseq_prep,agartland/rnaseq_prep,Dockerfile specifying programs for processing RNA seq data,,NF
alesssia,https://github.com/alesssia/YAMP,alesssia/YAMP,YAMP: Yet Another Metagenomic Pipeline,GPL-3.0,NF
AlfredUg,https://github.com/AlfredUg/qiime2-pipeline,AlfredUg/qiime2-pipeline,qiime2 pipeline for analysis of 16S rRNA microbiome data,,NF
alperyilmaz,https://github.com/alperyilmaz/nextflow-rnaseq,alperyilmaz/nextflow-rnaseq,amazon aws batch implementation of nextflow/rnaseq-encode-nf tutorial,,NF
AndersenLab,https://github.com/AndersenLab/alignment-nf,AndersenLab/alignment-nf,A nextflow pipeline for genome sequences alignment,MIT,NF
AndersenLab,https://github.com/AndersenLab/concordance-nf,AndersenLab/concordance-nf,,MIT,NF
AndersenLab,https://github.com/AndersenLab/linkagemapping-nf,AndersenLab/linkagemapping-nf,,,NF
AndersenLab,https://github.com/AndersenLab/nil-ril-nf,AndersenLab/nil-ril-nf,Nextflow pipeline for calling NILs and RILs,MIT,NF
AndersenLab,https://github.com/AndersenLab/SEmRNA-seq-nf,AndersenLab/SEmRNA-seq-nf,mRNA-seq pipeline,MIT,NF
AndersenLab,https://github.com/AndersenLab/trimmomatic-nf,AndersenLab/trimmomatic-nf,,MIT,NF
AndersenLab,https://github.com/AndersenLab/wi-nf,AndersenLab/wi-nf,,MIT,NF
apeltzer,https://github.com/apeltzer/IGCG-featureCounts,apeltzer/IGCG-featureCounts,A Nextflow script to run featureCounts on RNAseq BAM files on ICGC in AWS (with AWS Batch),MIT,NF
arontommi,https://github.com/arontommi/nf-mixcr,arontommi/nf-mixcr,,,NF
arzwa,https://github.com/arzwa/whaleprep,arzwa/whaleprep,Nextflow pipeline for preparatory analyses for Whale,,NF
aunderwo,https://github.com/aunderwo/nextflow-aws-batch-issue-1024,aunderwo/nextflow-aws-batch-issue-1024,Workflow and data for Nextflow issue #1024 ,,NF
aunderwo,https://github.com/aunderwo/nf-core-bactmap,aunderwo/nf-core-bactmap,A mapping-based pipeline for creating a phylogeny from bacterial whole genome sequences,MIT,NF
bhattlab,https://github.com/bhattlab/wits_workshop,bhattlab/wits_workshop,,,NF
bigbio,https://github.com/bigbio/nf-workflows,bigbio/nf-workflows,Repository of Nextflow+BioContainers workflows,GPL-2.0,NF
BigelowLab,https://github.com/BigelowLab/gorg-classifier,BigelowLab/gorg-classifier,,MIT,NF
Biocentric,https://github.com/Biocentric/DeepVariantNF,Biocentric/DeepVariantNF,Nextflow variation on Googles DeepVariant by Lifebit. Modified to run test on AWS Batch,Apache-2.0,NF
Biocentric,https://github.com/Biocentric/rnaseq_debug,Biocentric/rnaseq_debug,Nextflows RNA-Seq edit for debugging,,NF
biocorecrg,https://github.com/biocorecrg/C4LWG-2018,biocorecrg/C4LWG-2018,Hands-on tutorial on Nextflow and Containers (Docker and Singularity). Paris 2018.,GPL-3.0,NF
biocorecrg,https://github.com/biocorecrg/goodbioinfo2018,biocorecrg/goodbioinfo2018,Course on good practice in bioinformatics,,NF
biocorecrg,https://github.com/biocorecrg/indrop,biocorecrg/indrop,Single cell transcriptome analysis pipeline based on DropEst ,MPL-2.0,NF
biocorecrg,https://github.com/biocorecrg/vectorQC,biocorecrg/vectorQC,A Nextflow pipeline for assembling vectors and extract annotations,MPL-2.0,NF
bioinfo-dirty-jobs,https://github.com/bioinfo-dirty-jobs/Data,bioinfo-dirty-jobs/Data,,,NF
bioinfocz,https://github.com/bioinfocz/scripts,bioinfocz/scripts,Some of our scripts which could be useful.,MIT,NF
BioinformaticsLabAtMUN,https://github.com/BioinformaticsLabAtMUN/sRNACharP,BioinformaticsLabAtMUN/sRNACharP,An automated sRNA pipeline using Nextflow ,GPL-3.0,NF
bioinformatist,https://github.com/bioinformatist/nf-core-metaamplicon,bioinformatist/nf-core-metaamplicon,A pipeline for (meta-) analysis of amplicon data,MIT,NF
bioinformatist,https://github.com/bioinformatist/Rua-16SPipe,bioinformatist/Rua-16SPipe,,GPL-3.0,NF
bioShaun,https://github.com/bioShaun/omReseq-nf,bioShaun/omReseq-nf,Onmath reseq pipeline based on nextflow,,NF
bioShaun,https://github.com/bioShaun/omReseq-prepare-nf,bioShaun/omReseq-prepare-nf,A reseq reference prepare pipeline based on nextflow,MIT,NF
bioShaun,https://github.com/bioShaun/xms-rnaseq-nf,bioShaun/xms-rnaseq-nf,A kallisto quantification pipeline based on nextflow,MIT,NF
Blang2018,https://github.com/Blang2018/Nextflow,Blang2018/Nextflow,,,NF
BrianLohman,https://github.com/BrianLohman/workflows,BrianLohman/workflows,Workflows with Nextflow,,NF
brionmario,https://github.com/brionmario/b-specification-spaceship-asteroids-game,brionmario/b-specification-spaceship-asteroids-game,B specification of a very simple version of the old Spaceship & Asteroids arcade game  using the B tools Atelier B & ProB.,MIT,NF
brucemoran,https://github.com/brucemoran/exome_HLA,brucemoran/exome_HLA,Calling HLA from exome data with HLAminer in Singularity,,NF
brunoand,https://github.com/brunoand/16MP,brunoand/16MP,,,NF
brunoand,https://github.com/brunoand/NMP,brunoand/NMP,,,NF
brunoand,https://github.com/brunoand/TPM,brunoand/TPM,,,NF
bsjo,https://github.com/bsjo/hello,bsjo/hello,,GPL-3.0,NF
BU-ISCIII,https://github.com/BU-ISCIII/introduction_to_bioinformatics,BU-ISCIII/introduction_to_bioinformatics,In this training course you will find theory and practice material for introducing yourself to the basics of high throughput sequencing data analysis.,GPL-3.0,NF
BU-ISCIII,https://github.com/BU-ISCIII/PikaVirus,BU-ISCIII/PikaVirus,Open source software that implements a new method for metagenomics analysis. A new mapping approach is integrated with traditional assembly and blast annotation  all integrated in a web-based user friendly visualization platform for ease interpretation.,,NF
bzhanglab,https://github.com/bzhanglab/neoflow,bzhanglab/neoflow,NeoFlow is a standalone tool developed based on Nextflow and Docker and is developed for tumor neoantigens identification using DNA-Seq  RNA-Seq and MS/MS data.,GPL-3.0,NF
c-guzman,https://github.com/c-guzman/chip,c-guzman/chip,ChIP-seq pipeline for Heinz Lab,MIT,NF
CAMI-challenge,https://github.com/CAMI-challenge/CAMITAX,CAMI-challenge/CAMITAX,CAMITAX: Taxon labels for microbial genomes,Apache-2.0,NF
caspargross,https://github.com/caspargross/HybridAssembly,caspargross/HybridAssembly,Nextflow pipeline for hybrid assembly combining short read (Illumina) and long read (Nanopore) data.,,NF
caspargross,https://github.com/caspargross/PlasmIdent,caspargross/PlasmIdent,Pipeline for identification of circular plasmids from genome assemblies and resistance gene annotation,,NF
cbcrg,https://github.com/cbcrg/kallisto-nf,cbcrg/kallisto-nf,A nextflow implementation of Kallisto & Sleuth RNA-Seq Tools,,NF
cbcrg,https://github.com/cbcrg/msa-benchmark,cbcrg/msa-benchmark,,,NF
cbcrg,https://github.com/cbcrg/nf-phdcourse18,cbcrg/nf-phdcourse18,Nextflow training material for Phd course 2018,MIT,NF
cbcrg,https://github.com/cbcrg/piper-nf,cbcrg/piper-nf,RNA mapping pipeline,GPL-3.0,NF
cbcrg,https://github.com/cbcrg/raxml-nf,cbcrg/raxml-nf,RAxML pipeline,,NF
ccario83,https://github.com/ccario83/workflows,ccario83/workflows,Some nextflow script templates for sequencing workflows,,NF
cellgeni,https://github.com/cellgeni/cbdemux,cellgeni/cbdemux,Demultiplex bam files on CB field and compute rudimentary per-sample QC,,NF
chdem,https://github.com/chdem/nxf_course,chdem/nxf_course,,,NF
ChristopherBarrington,https://github.com/ChristopherBarrington/nf-core-hic,ChristopherBarrington/nf-core-hic,,MIT,NF
cimendes,https://github.com/cimendes/metaFlow,cimendes/metaFlow,A nextflow implementation of a metagenomics pipeline,,NF
ClaudiuCreanga,https://github.com/ClaudiuCreanga/nextflow,ClaudiuCreanga/nextflow,,,NF
Clinical-Genomics-Lund,https://github.com/Clinical-Genomics-Lund/nextflow_test,Clinical-Genomics-Lund/nextflow_test,Proof-on-concet pipeline using Nextflow + Singularity + SLURM,,NF
connor-lab,https://github.com/connor-lab/nextflow_pipelines,connor-lab/nextflow_pipelines,Nextflow pipeline script  config and ancillary files for PHW PenGU sequencing,,NF
coraliegimonnet,https://github.com/coraliegimonnet/BS-Seq_pipeline,coraliegimonnet/BS-Seq_pipeline,,,NF
coughls,https://github.com/coughls/nextflow-example-scripts,coughls/nextflow-example-scripts,Scripts from my talk at nextflow hack 2018: https://github.com/nextflow-io/nf-hack18/blob/master/schedule.md,,NF
cpang429,https://github.com/cpang429/directrna,cpang429/directrna,Nanopore pipeline for processing long-read RNA-Seq data,MIT,NF
CRG-CNAG,https://github.com/CRG-CNAG/CalliNGS-NF,CRG-CNAG/CalliNGS-NF,GATK RNA-Seq Variant Calling in Nextflow,MPL-2.0,NF
CRG-CNAG,https://github.com/CRG-CNAG/EOSC-Pilot,CRG-CNAG/EOSC-Pilot,EOSC pilot project,MPL-2.0,NF
crickbabs,https://github.com/crickbabs/BABS-aDNASeq,crickbabs/BABS-aDNASeq,An ancient DNA nextflow analysis pipeline,NOASSERTION,NF
crickbabs,https://github.com/crickbabs/BABS-RNASeq,crickbabs/BABS-RNASeq,RNASeq Best Practice Analysis,MIT,NF
crickbabs,https://github.com/crickbabs/nextflow_toolbox,crickbabs/nextflow_toolbox,A toy Nextflow pipeline that contains useful programming constructs,,NF
crickbabs,https://github.com/crickbabs/qualityControl_byBABS,crickbabs/qualityControl_byBABS,Nextflow Quality Control Analysis Pipeline,,NF
